id,date,text,user_id,user_name,retweeted,RT_text,RT_user_id,RT_user_name,location/country,location/city
1026921298331664400,Tue Aug 07 20:01:31 +0000 2018,RT @DN_Mariano: @JorgeMunozAP @ap_bancada @AccionPopularPe @AccionPopular @AccionPopularAP @ppdenaccion @AccionPopularLo @APJOVEN @MunozaLi…,943888352318820400,@jordymarichi,true,"@JorgeMunozAP @ap_bancada @AccionPopularPe @AccionPopular @AccionPopularAP @ppdenaccion @AccionPopularLo @APJOVEN @MunozaLima @AccionColorao Jorge no confundas Juana con Chana. El hecho que por cultura te hayan saludado los jóvenes de FP,  lo confundes con interés de voto. Que poco tino e inteligencia emocional. Debes ir a consulta médica. Consejo de amigo.",381872014,@DN_Mariano,,
1026921314819469300,Tue Aug 07 20:01:35 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,2602648454,@mboren65,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026921326794166300,Tue Aug 07 20:01:38 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,992549380996714500,@RebeccadelCielo,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026921442838028300,Tue Aug 07 20:02:05 +0000 2018,"@DanielUrresti1 Cuando usted fue ministro, es de hombres reconocer, puso el pare a la delincuencia, solo espero se rodee bien y no se deje influenciar por la corrupción... mano dura!!! Éxitos y bendiciones.",1018211971303379000,@abelarturobend1,false,,,,,
1026921502971756500,Tue Aug 07 20:02:20 +0000 2018,RT @gracielaocana: 👏👏👏👏👏👏 https://t.co/kdiGiwU2Sk,2825512219,@Marbeaber,true,👏👏👏👏👏👏 https://t.co/kdiGiwU2Sk,164335332,@gracielaocana,,
1026921545107681300,Tue Aug 07 20:02:30 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,712634252949635100,@mrosa2796,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026921646270152700,Tue Aug 07 20:02:54 +0000 2018,"RT @Caretas: Daniel Urresti (@DanielUrresti1) presentó un video para acusar al fiscal Landa, pero en ningún momento se menciona a Luis Land…",2347063759,@Combate_Norte,true,"Daniel Urresti (@DanielUrresti1) presentó un video para acusar al fiscal Landa, pero en ningún momento se menciona a Luis Landa. ►https://t.co/fnYeo1LAAj https://t.co/ugbFLAt6oU",44932117,@Caretas,,
1026921704319266800,Tue Aug 07 20:03:08 +0000 2018,@Caretas @DanielUrresti1 Y así piensa ganar la alcaldía ?,2347063759,@Combate_Norte,false,,,,,
1026921762863374300,Tue Aug 07 20:03:22 +0000 2018,"RT @Caretas: Daniel Urresti (@DanielUrresti1) presentó un video para acusar al fiscal Landa, pero en ningún momento se menciona a Luis Land…",84988358,@mediosperuanos,true,"Daniel Urresti (@DanielUrresti1) presentó un video para acusar al fiscal Landa, pero en ningún momento se menciona a Luis Landa. ►https://t.co/fnYeo1LAAj https://t.co/ugbFLAt6oU",44932117,@Caretas,,
1026921777115684900,Tue Aug 07 20:03:25 +0000 2018,RT @segundolopez02: @JorgeMunozAP @ap_bancada @AccionPopularPe @AccionPopular @AccionPopularAP @ppdenaccion @AccionPopularLo @APJOVEN @Muno…,373136115,@victori39804465,true,"@JorgeMunozAP @ap_bancada @AccionPopularPe @AccionPopular @AccionPopularAP @ppdenaccion @AccionPopularLo @APJOVEN @MunozaLima @AccionColorao Que BAJO puede Llegar un ""candidato"" para buscarse su MERMELADA,utilizar el Respeto de Jovenes con Valores Morales y quienes lo Saludaron al Cruzarse en su camino. La @ONPE_oficial y el @JNE_Peru Deben Jalarle las Orejas por OPORTUNISTA...",853901382,@segundolopez02,,
